port_name,date,port_operator,berth_no,cargo_type,direction,volume,unit,source_id
Бердянський морський порт,2018-07-01,ДП «Бердянський МТП»,3,Будівельні,Навантаження,40.452,тис. тонн,63fe471a-77b5-43b8-a08b-680010b2b953
Бердянський морський порт,2018-07-01,ПрАТ «БЗПТО»,5,Хлібні - всього,Навантаження,5.01,тис. тонн,63fe471a-77b5-43b8-a08b-680010b2b953
Бердянський морський порт,2018-07-01,ДП «Бердянський МТП»,5,Хлібні - всього,Навантаження,0.938,тис. тонн,63fe471a-77b5-43b8-a08b-680010b2b953
Бердянський морський порт,2018-07-01,ТОВ «Аскет Шиппінг»,5,Хлібні - всього,Навантаження,8.37,тис. тонн,63fe471a-77b5-43b8-a08b-680010b2b953
Бердянський морський порт,2018-08-01,ПрАТ «БЗПТО»,8,Хлібні - всього,Навантаження,7.384,тис. тонн,63fe471a-77b5-43b8-a08b-680010b2b953
Бердянський морський порт,2018-07-01,ТОВ «Аскет Шиппінг»,2,Хлібні - всього,Навантаження,25.148,тис. тонн,63fe471a-77b5-43b8-a08b-680010b2b953
Бердянський морський порт,2018-07-01,ДП «Бердянський МТП»,8,Чорні метали - всього,Навантаження,11.315,тис. тонн,63fe471a-77b5-43b8-a08b-680010b2b953
Бердянський морський порт,2018-07-01,ТОВ «Аскет Шиппінг»,1,Хлібні - всього,Навантаження,25.28,тис. тонн,63fe471a-77b5-43b8-a08b-680010b2b953
Бердянський морський порт,2018-07-01,ДП «Бердянський МТП»,1,Хлібні - всього,Навантаження,5.532,тис. тонн,63fe471a-77b5-43b8-a08b-680010b2b953
Бердянський морський порт,2018-07-01,ДП «Бердянський МТП»,4,Будівельні,Навантаження,8.55,тис. тонн,63fe471a-77b5-43b8-a08b-680010b2b953
Бердянський морський порт,2018-07-01,ПрАТ «БЗПТО»,1,Інші сипучі вантажі,Навантаження,11.889,тис. тонн,63fe471a-77b5-43b8-a08b-680010b2b953
Бердянський морський порт,2018-07-01,ПрАТ «БЗПТО»,2,Хлібні - всього,Навантаження,4.233,тис. тонн,63fe471a-77b5-43b8-a08b-680010b2b953
Бердянський морський порт,2018-07-01,ДП «Бердянський МТП»,2,Хлібні - всього,Навантаження,1.767,тис. тонн,63fe471a-77b5-43b8-a08b-680010b2b953
Білгород-Дністровський морський порт,2018-07-01,"ПП ""СВ""",8,Хім. та мін. добрива (тарно-штучні),Розвантаження,3,тис. тонн,63fe471a-77b5-43b8-a08b-680010b2b953
Білгород-Дністровський морський порт,2018-07-01,"ПП ""СВ""",9,Лісні вантажі,Навантаження,7.947,тис. тонн,63fe471a-77b5-43b8-a08b-680010b2b953
Білгород-Дністровський морський порт,2018-07-01,"ПП ""СВ""",5,Інші тарно-штучні вантажі,Розвантаження,2.555,тис. тонн,63fe471a-77b5-43b8-a08b-680010b2b953
Білгород-Дністровський морський порт,2018-07-01,"ПП ""СВ""",9,Інші тарно-штучні вантажі,Розвантаження,2.175,тис. тонн,63fe471a-77b5-43b8-a08b-680010b2b953
Білгород-Дністровський морський порт,2018-07-01,ДП «Білгород-Дністровський МТП»,3,Лісні вантажі,Навантаження,1.94,тис. тонн,63fe471a-77b5-43b8-a08b-680010b2b953
Ізмаїльський морський порт,2018-07-01,ДП «Ізмаїльський МТП»,Рейд,NA,Інше,NA,NA,63fe471a-77b5-43b8-a08b-680010b2b953
Ізмаїльський морський порт,2018-07-01,ТОВ «Агенція Трайтон Сервіс Україна»,"ТОВ ""Трайтон""",Хімічні (наливні),Розвантаження,0.98,тис. тонн,63fe471a-77b5-43b8-a08b-680010b2b953
Ізмаїльський морський порт,2018-07-01,ДП «Ізмаїльський МТП»,13,Руда всяка,Навантаження,32.791,тис. тонн,63fe471a-77b5-43b8-a08b-680010b2b953
Ізмаїльський морський порт,2018-07-01,ДП «Ізмаїльський МТП»,7,Руда всяка,Навантаження,24.098,тис. тонн,63fe471a-77b5-43b8-a08b-680010b2b953
Ізмаїльський морський порт,2018-07-01,ДП «Ізмаїльський МТП»,23,Руда всяка,Навантаження,50.437,тис. тонн,63fe471a-77b5-43b8-a08b-680010b2b953
