port_name,arrival_date,arrival_time,departure_date,departure_time,ship_id,ship_name,ship_type,ship_flag,dwt,call_purpose,cargo_type,volume,agent
Бердянський морський порт,2018-07-11,9:45,2018-07-14,16:00,8520898,FK HATICE,Балкер,Туреччина,5610,Навантаження,Будівельні,5.529,"ООО ""ПОРТИНВЕСТ ЛОДЖИСТИК"""
Бердянський морський порт,2018-07-12,18:20,2018-07-17,15:45,9008067,PRINCESS AMNAH,Балкер,Сьєрра-Леоне,6266,Навантаження,Хлібні - всього,5.948,ПКЛ Агент
Бердянський морський порт,2018-07-14,20:00,2018-07-16,21:30,9041772,MARIKANA,Балкер,Беліз,22201,Навантаження,Будівельні,16.651,НЕОСТАР
Бердянський морський порт,2018-07-22,5:00,2018-07-23,19:25,9365049,ESTESTAR,Балкер,Панама,10887,Навантаження,Будівельні,10.292,"ООО ""ПОРТИНВЕСТ ЛОДЖИСТИК"""
Бердянський морський порт,2018-07-03,22:15,2018-07-05,15:50,8947618,LIMBA,Балкер,Україна,2600,Навантаження,Хлібні - всього,2.32,Аскет порт агент
Бердянський морський порт,2018-07-25,23:30,2018-08-01,18:05,9116084,SU,Балкер,Туреччина,8258,Навантаження,Хлібні - всього,7.384,ПКЛ Агент
Бердянський морський порт,2018-07-18,21:40,2018-07-20,20:30,7528790,ISLAND BAY,Балкер,Туреччина,6569,Навантаження,Хлібні - всього,5.786,Бердянск Шиппинг
Бердянський морський порт,2018-07-21,6:00,2018-07-24,21:15,8520836,DAYTONA H,Балкер,Комори,11901,Навантаження,Чорні метали - всього,11.315,"ООО ""МЕТИНВЕСТ-ШИППИНГ"""
Бердянський морський порт,2018-07-10,8:00,2018-07-14,1:45,9430624,ORUBA,Балкер,Панама,10603,Навантаження,Хлібні - всього,9.777,Аскет порт агент
Бердянський морський порт,2018-06-27,11:55,2018-07-01,14:00,8206284,Zara,Балкер,Камбоджа,8557,Навантаження,Будівельні,7.98,"ООО ""ПОРТИНВЕСТ ЛОДЖИСТИК"""
