period,resource_id,name,last_modified,url,n_calls,n_volumes
2018-07,63fe471a-77b5-43b8-a08b-680010b2b953,Ф-12 та Ф-13 за липень 2018.xlsx,2018-08-22T08:52:15.443180,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/63fe471a-77b5-43b8-a08b-680010b2b953/download/f-12-ta-f-13-za-lipen-2018.xlsx,1432,375
2018-08,b408f5ff-f217-489a-8e23-0c2a469484f1,Ф-12. Реєстр судозаходів та Ф-13. Портова статистика з перевалки вантажів у розрізі терміналів та причалів за серпень 2018.xlsx,2018-11-23T13:44:55.119184,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/b408f5ff-f217-489a-8e23-0c2a469484f1/download/f-12-reiestr-sudozakhodiv-ta-f-13-portova-statistika-z-perevalki-vantazhiv-u-rozrizi-terminaliv.xlsx,1345,393
2018-09,dc5dd750-d1c8-4bb5-80bb-28081c596732,Ф-12 та Ф-13 за вересень 2018. Портова статистика та реєстр судозаходів за вересень 2018..xlsx,2018-11-23T13:41:29.019446,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/dc5dd750-d1c8-4bb5-80bb-28081c596732/download/f-12-ta-f-13-za-veresen-2018-portova-statistika-ta-reiestr-sudozakhodiv-za-veresen-2018.xlsx,1298,356
2018-10,a340ad3a-ffe0-4908-aab5-61d890245c97,Ф-12 та Ф-13 за жовтень 2018.xlsx,2018-11-23T13:44:10.665922,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/a340ad3a-ffe0-4908-aab5-61d890245c97/download/f-12-ta-f-13-za-zhovten-2018.xlsx,1304,402
2018-11,c4f1aee4-57ec-4617-9bca-8e839fb78ca7,Ф-12 та Ф-13 за листопад 2018.xlsx,2018-12-17T12:54:49.492467,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/c4f1aee4-57ec-4617-9bca-8e839fb78ca7/download/f-12-ta-f-13-za-listopad-2018.xlsx,1316,406
2018-12,728b6880-ce30-47bf-b5a5-7b1710817f8d,Ф-12 та Ф-13 за грудень 2018.xlsx,2019-01-11T10:43:34.357330,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/728b6880-ce30-47bf-b5a5-7b1710817f8d/download/f-12-ta-f-13-za-gruden-2018.xlsx,1530,453
2019-01,0d23cae4-0ef6-4524-9609-f1485c36d509,Ф-12 та Ф-13 за січень 2019.xlsx,2019-02-11T09:54:08.859638,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/0d23cae4-0ef6-4524-9609-f1485c36d509/download/f-12-ta-f-13-za-sichen-2019.xlsx,1273,404
2019-02,d4526255-d196-4c29-baee-5701ecfc1286,Ф-12 та Ф-13 за лютий 2019.xlsx,2019-03-12T09:44:08.806803,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/d4526255-d196-4c29-baee-5701ecfc1286/download/f-12-ta-f-13-za-liutii-2019.xlsx,1273,386
2019-03,cb38ea6c-dca4-4080-8746-2b4a72a4f6d5,Ф-12 та Ф-13 за березень 2019.xlsx,2019-04-16T11:24:53.007551,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/cb38ea6c-dca4-4080-8746-2b4a72a4f6d5/download/f-12-ta-f-13-za-berezen-2019.xlsx,1568,446
2019-04,016f5bf9-5072-428e-a5fc-5c1fffdc7715,Ф-12 и Ф-13 за квітень 2019.xlsx,2019-05-15T10:16:07.630018,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/016f5bf9-5072-428e-a5fc-5c1fffdc7715/download/f-12-i-f-13-za-kviten-2019.xlsx,1341,381
2019-05,8b066b4d-4195-465f-a73a-38d2a4ddb19f,Ф-12 та Ф-13 за травень 2019.xlsx,2019-06-14T07:59:34.535633,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/8b066b4d-4195-465f-a73a-38d2a4ddb19f/download/f-12-ta-f-13-za-traven-2019.xlsx,1517,405
2019-06,a11d4e70-e033-48c2-806d-8d228a3842e6,Ф-12 та Ф-13 за червень 2019.xlsx,2019-07-16T12:32:16.093790,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/a11d4e70-e033-48c2-806d-8d228a3842e6/download/f-12-ta-f-13-za-cherven-2019.xlsx,1221,359
2019-07,a3c4ce4d-f18a-4f25-80d4-9d57e9d1828a,Ф-12 та Ф-13 за липень 2019.xlsx,2019-08-12T08:27:51.694982,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/a3c4ce4d-f18a-4f25-80d4-9d57e9d1828a/download/f-12-ta-f-13-za-lipen-2019.xlsx,1474,404
2019-08,e635551a-a633-4bb5-ba8e-7cc258f28b67,Ф-12 та Ф-13 за серпень 2019.xlsx,2019-09-11T14:51:08.591250,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/e635551a-a633-4bb5-ba8e-7cc258f28b67/download/f-12-ta-f-13-za-serpen-2019.xlsx,1508,427
2019-09,21d69678-6c35-4d09-a992-1ea7f28b5485,Ф-12 та Ф-13 за вересень 2019.xlsx,2019-10-10T14:10:58.351439,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/21d69678-6c35-4d09-a992-1ea7f28b5485/download/f-12-ta-f-13-za-veresen-2019.xlsx,1444,414
2019-10,349daeb3-192b-4612-81af-d18c7b0e4194,Ф-12 та Ф-13 за жовтень 2019.xlsx,2019-11-12T13:35:43.131303,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/349daeb3-192b-4612-81af-d18c7b0e4194/download/f-12-ta-f-13-za-zhovten-2019.xlsx,1603,439
2019-11,5bb7aca9-561f-4e7c-b15c-0b2f15fc2e7d,Ф-12 та Ф-13 за листопад 2019.xlsx,2019-12-11T13:01:07.458686,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/5bb7aca9-561f-4e7c-b15c-0b2f15fc2e7d/download/f-12-ta-f-13-za-listopad-2019.xlsx,1442,421
2019-12,2642023a-db3b-4f78-83ed-bf74b0ee6326,Ф-12 та Ф-13 за грудень 2019.xlsx,2020-01-14T12:24:49.670452,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/2642023a-db3b-4f78-83ed-bf74b0ee6326/download/f-12-ta-f-13-za-gruden-2019.xlsx,1526,429
2020-01,eea3bee2-6382-4465-9a05-5fb05e58fb52,Ф-12 та Ф-13 за січень 2020.xlsx,2020-02-11T12:17:58.800680,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/eea3bee2-6382-4465-9a05-5fb05e58fb52/download/f-12-ta-f-13-za-sichen-2020.xlsx,1386,387
2020-02,e3e8095b-3321-4961-88a3-133a9e0104f1,Ф-12 та Ф-13 за лютий 2020.xlsx,2020-03-10T16:39:18.799430,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/e3e8095b-3321-4961-88a3-133a9e0104f1/download/f-12-ta-f-13-za-liutii-2020.xlsx,1249,366
2020-03,1bbfb6df-ac07-4f74-9220-6c421a3f44bd,Ф-12 та Ф-13 за березень 2020.xlsx,2020-04-13T10:59:15.087270,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/1bbfb6df-ac07-4f74-9220-6c421a3f44bd/download/f-12-ta-f-13-za-berezen-2020.xlsx,1281,365
2020-04,67b4b92a-aa13-43fa-a4d8-68aa9265c319,Ф-12 та Ф-13 за квітень 2020.xlsx,2020-05-13T13:09:03.201757,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/67b4b92a-aa13-43fa-a4d8-68aa9265c319/download/f-12-ta-f-13-za-kviten-2020.xlsx,1343,391
2020-05,ae54b1c7-a30a-4b25-a339-98ac90fa3e6e,Ф-12 та Ф-13 за травень 2020 року.xlsx,2020-06-15T13:26:08.192849,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/ae54b1c7-a30a-4b25-a339-98ac90fa3e6e/download/f-12-ta-f-13-za-traven-2020-roku.xlsx,1203,382
2020-06,75d9cfe5-ab8e-4038-a88c-624a03fac1b8,Ф-12 та Ф-13 за червень 2020 року.xlsx,2020-07-13T08:26:58.251595,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/75d9cfe5-ab8e-4038-a88c-624a03fac1b8/download/f-12-ta-f-13-za-cherven-2020-roku.xlsx,1106,366
2020-07,49694e3a-79f5-4004-9302-2ad850cabe9e,Ф-12 та Ф-13 за липень 2020.xlsx,2020-08-11T11:21:41.487402,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/49694e3a-79f5-4004-9302-2ad850cabe9e/download/f-12-ta-f-13-za-lipen-2020.xlsx,1265,389
2020-08,e5713a8e-9f97-4a3f-8d83-0ed8787466bc,Ф-12 та Ф-13 за серпень 2020.xlsx,2020-09-11T09:21:37.610264,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/e5713a8e-9f97-4a3f-8d83-0ed8787466bc/download/f-12-ta-f-13-za-serpen-2020.xlsx,1334,388
2020-09,cc033449-c806-433b-aaad-123eef62c43a,Ф-12 та Ф-13 за вересень 2020.xlsx,2020-10-12T11:57:11.320693,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/cc033449-c806-433b-aaad-123eef62c43a/download/f-12-ta-f-13-za-veresen-2020.xlsx,1217,396
2020-10,690d645f-4175-427f-8166-64a8985139e8,Ф-12 та Ф-13 за жовтень 2020.xlsx,2020-11-11T10:44:31.027612,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/690d645f-4175-427f-8166-64a8985139e8/download/f-12-ta-f-13-za-zhovten-2020.xlsx,1424,398
2020-11,25455f03-a363-41b2-96d0-b5275d267e68,Ф-12  та Ф-13 за листопад 2020.xlsx,2020-12-11T13:40:09.674133,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/25455f03-a363-41b2-96d0-b5275d267e68/download/f-12-ta-f-13-za-listopad-2020.xlsx,1410,383
2020-12,ed63ee5f-1831-4747-8fe7-fffb7cc4092f,Ф-12 та Ф-13 за грудень 2020.xlsx,2021-01-12T10:16:14.175046,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/ed63ee5f-1831-4747-8fe7-fffb7cc4092f/download/f-12-ta-f-13-za-gruden-2020.xlsx,1326,373
2021-01,bdd7ce2c-2f71-41a2-9368-c38795f3ba5e,Ф-12 та Ф-13 за січень 2021 року.xlsx,2021-02-11T14:48:04.748334,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/bdd7ce2c-2f71-41a2-9368-c38795f3ba5e/download/f-12-ta-f-13-za-sichen-2021-roku.xlsx,1121,330
2021-02,93411414-8a93-4d45-8bb6-fd95f4968360,Ф-12 та Ф-13 за лютий 2021.xlsx,2021-03-11T09:55:08.697972,https://data.gov.ua/dataset/3f67ad69-fdd7-4afd-ab5c-765681286f48/resource/93411414-8a93-4d45-8bb6-fd95f4968360/download/f-12-ta-f-13-za-liutii-2021.xlsx,1157,344
